28/12/2023 09:42:24:676  INFO - Node Entry | session id:sess4065983 | QatarIVR:Start | Framework | Start |  |  | 
28/12/2023 09:42:24:920  INFO - Node Entry | session id:sess4065983 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
28/12/2023 09:42:25:427  INFO - Node Entry | session id:sess4065983 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 09:42:25:480  INFO - Node Entry | session id:sess4065983 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 09:42:25:537  INFO - Node Entry | session id:sess4065983 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 09:42:25:598  INFO - Node Entry | session id:sess4065983 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 09:42:25:652  INFO - Node Entry | session id:sess4065983 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
28/12/2023 09:42:25:706  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-Begin | Framework | connectback-Begin |  |  | undefined
28/12/2023 09:42:25:761  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
28/12/2023 09:42:25:816  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-checkValues | Framework | connectback-checkValues |  |  | undefined
28/12/2023 09:42:25:895  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-getData | Framework | connectback-getData |  |  | undefined
28/12/2023 09:42:25:961  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-LoadVBConfigValuesFromHost | Framework | connectback-LoadVBConfigValuesFromHost |  |  | undefined
28/12/2023 09:42:26:017  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-setApplicatioDataUUID | Framework | connectback-setApplicatioDataUUID |  |  | undefined
28/12/2023 09:42:26:072  INFO - Node Entry | session id:sess4065983 | QatarIVR:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
28/12/2023 09:42:26:126  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
28/12/2023 09:42:26:181  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
28/12/2023 09:42:26:235  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
28/12/2023 09:42:26:334  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
28/12/2023 09:42:32:154  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-CONSENTUPDATEIVRDB | Framework | Enrollment-CONSENTUPDATEIVRDB | consentMenu___utterance | 1^0.949999988079071^0^0 | undefined
28/12/2023 09:42:32:205  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-StartSessin | Framework | Enrollment-StartSessin |  |  | undefined
28/12/2023 09:42:33:587  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-deletevoiceprint | Framework | Enrollment-deletevoiceprint |  |  | undefined
28/12/2023 09:42:33:669  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-preenrollannouncement | Framework | Enrollment-preenrollannouncement |  |  | undefined
28/12/2023 09:42:33:954  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-enroll1 | Framework | Enrollment-enroll1 |  |  | undefined
28/12/2023 09:42:34:080  INFO - Node Entry | session id:sess4065983 | QatarIVR:Enrollment-enrollVoicePc | Framework | Enrollment-enrollVoicePc |  |  | undefined
28/12/2023 09:42:37:955  INFO - Node Entry | session id:sess4065983 | QatarIVR:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
28/12/2023 09:42:38:007  INFO - Node Entry | session id:sess4065983 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
28/12/2023 09:42:38:063  INFO - Node Entry | session id:sess4065983 | QatarIVR:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
28/12/2023 09:42:38:155  INFO - Node Entry | session id:sess4065983 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
28/12/2023 09:42:38:207  INFO - Node Entry | session id:sess4065983 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
28/12/2023 09:42:38:265  INFO - Node Entry | session id:sess4065983 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
28/12/2023 09:42:38:267  INFO - Application Exit | session id:sess4065983 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
28/12/2023 09:43:19:451  INFO - Node Entry | session id:sess9882087 | QatarIVR:Start | Framework | Start |  |  | 
28/12/2023 09:43:19:558  INFO - Node Entry | session id:sess9882087 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
28/12/2023 09:43:19:767  INFO - Node Entry | session id:sess9882087 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 09:43:19:818  INFO - Node Entry | session id:sess9882087 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 09:43:19:875  INFO - Node Entry | session id:sess9882087 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 09:43:19:931  INFO - Node Entry | session id:sess9882087 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 09:43:19:983  INFO - Node Entry | session id:sess9882087 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
28/12/2023 09:43:20:036  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-Begin | Framework | Verify-Begin |  |  | undefined
28/12/2023 09:43:20:087  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-PreData | Framework | Verify-PreData |  |  | undefined
28/12/2023 09:43:20:141  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-LoadVBConfigValuesFromHost | Framework | Verify-LoadVBConfigValuesFromHost |  |  | undefined
28/12/2023 09:43:20:196  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-CheckCalibration | Framework | Verify-CheckCalibration |  |  | undefined
28/12/2023 09:43:20:329  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-postcalibrationverify | Framework | Verify-postcalibrationverify |  |  | undefined
28/12/2023 09:43:20:384  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-Begin | Framework | postverify-Begin |  |  | undefined
28/12/2023 09:43:20:439  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-preprocess | Framework | postverify-preprocess |  |  | undefined
28/12/2023 09:43:20:492  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-StartSessin | Framework | postverify-StartSessin |  |  | undefined
28/12/2023 09:43:20:834  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-preverifyannounce | Framework | postverify-preverifyannounce |  |  | undefined
28/12/2023 09:43:20:913  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-authenticateVoice | Framework | postverify-authenticateVoice |  |  | undefined
28/12/2023 09:43:30:657  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-vbAuthenticate | Framework | postverify-vbAuthenticate |  |  | undefined
28/12/2023 09:43:30:779  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-hostdownannounce | Framework | postverify-hostdownannounce |  |  | undefined
28/12/2023 09:43:30:857  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-TRIGGER_SMS_EMAIL_VERIFY_FAILURE | Framework | postverify-TRIGGER_SMS_EMAIL_VERIFY_FAILURE |  |  | undefined
28/12/2023 09:43:30:935  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-QR_UPDATE_VB_VERIFY | Framework | postverify-QR_UPDATE_VB_VERIFY |  |  | undefined
28/12/2023 09:43:30:997  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-preTransfer | Framework | postverify-preTransfer |  |  | undefined
28/12/2023 09:43:31:059  INFO - Node Entry | session id:sess9882087 | QatarIVR:postverify-Transfer | Framework | postverify-Transfer |  |  | undefined
28/12/2023 09:43:31:122  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-prepareTransfer | Framework | Verify-prepareTransfer |  |  | undefined
28/12/2023 09:43:31:184  INFO - Node Entry | session id:sess9882087 | QatarIVR:Verify-Transfer | Framework | Verify-Transfer |  |  | undefined
28/12/2023 09:43:31:246  INFO - Node Entry | session id:sess9882087 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 09:43:31:308  INFO - Node Entry | session id:sess9882087 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 09:43:31:387  INFO - Node Entry | session id:sess9882087 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 09:43:31:449  INFO - Node Entry | session id:sess9882087 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 09:43:31:510  INFO - Node Entry | session id:sess9882087 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
28/12/2023 09:43:31:573  INFO - Node Entry | session id:sess9882087 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
28/12/2023 09:43:31:636  INFO - Node Entry | session id:sess9882087 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
28/12/2023 09:43:40:195  INFO - Node Entry | session id:sess9882087 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
28/12/2023 09:43:40:199  INFO - Application Exit | session id:sess9882087 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
28/12/2023 10:36:10:461  INFO - Node Entry | session id:sess3402292 | QatarIVR:Start | Framework | Start |  |  | 
28/12/2023 10:36:10:613  INFO - Node Entry | session id:sess3402292 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
28/12/2023 10:36:10:968  INFO - Node Entry | session id:sess3402292 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 10:36:11:020  INFO - Node Entry | session id:sess3402292 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 10:36:11:074  INFO - Node Entry | session id:sess3402292 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 10:36:11:132  INFO - Node Entry | session id:sess3402292 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 10:36:11:183  INFO - Node Entry | session id:sess3402292 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
28/12/2023 10:36:11:236  INFO - Node Entry | session id:sess3402292 | QatarIVR:Verify-Begin | Framework | Verify-Begin |  |  | undefined
28/12/2023 10:36:11:289  INFO - Node Entry | session id:sess3402292 | QatarIVR:Verify-PreData | Framework | Verify-PreData |  |  | undefined
28/12/2023 10:36:11:346  INFO - Node Entry | session id:sess3402292 | QatarIVR:Verify-LoadVBConfigValuesFromHost | Framework | Verify-LoadVBConfigValuesFromHost |  |  | undefined
28/12/2023 10:36:11:404  INFO - Node Entry | session id:sess3402292 | QatarIVR:Verify-CheckCalibration | Framework | Verify-CheckCalibration |  |  | undefined
28/12/2023 10:36:11:539  INFO - Node Entry | session id:sess3402292 | QatarIVR:Verify-postcalibrationverify | Framework | Verify-postcalibrationverify |  |  | undefined
28/12/2023 10:36:11:591  INFO - Node Entry | session id:sess3402292 | QatarIVR:postverify-Begin | Framework | postverify-Begin |  |  | undefined
28/12/2023 10:36:11:645  INFO - Node Entry | session id:sess3402292 | QatarIVR:postverify-preprocess | Framework | postverify-preprocess |  |  | undefined
