07/02/2024 06:20:02:713  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Start | Framework | Start |  |  | 
07/02/2024 06:20:02:837  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 06:20:03:706  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 06:20:03:761  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 06:20:03:813  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 06:20:03:878  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 06:20:03:931  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 06:20:03:985  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
07/02/2024 06:20:04:039  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 06:20:04:103  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 06:20:04:496  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 06:20:05:307  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 06:20:05:509  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 06:20:05:562  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 06:20:05:615  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
07/02/2024 06:20:05:674  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
07/02/2024 06:20:05:749  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
07/02/2024 06:20:07:444  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 06:20:07:496  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 06:20:07:549  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 06:20:08:317  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 06:20:08:369  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 06:20:08:426  INFO - Node Entry | session id:sess1310985 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 06:20:08:427  INFO - Application Exit | session id:sess1310985 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:39:17:254  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:Start | Framework | Start |  |  | 
07/02/2024 08:39:17:375  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:39:18:330  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
