12/03/2024 13:35:10:634  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
12/03/2024 13:35:10:724  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
12/03/2024 13:35:10:831  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
12/03/2024 13:35:10:893  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:SetTechDiffPrompt | Framework | SetTechDiffPrompt |  |  | undefined
12/03/2024 13:35:10:956  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:TechnicalDifficulties | Framework | TechnicalDifficulties |  |  | undefined
12/03/2024 13:35:11:034  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
12/03/2024 13:35:11:095  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
12/03/2024 13:35:11:157  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
12/03/2024 13:35:11:220  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
12/03/2024 13:35:11:283  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
12/03/2024 13:35:11:345  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
12/03/2024 13:35:11:407  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
12/03/2024 13:35:11:470  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
12/03/2024 13:35:11:532  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
12/03/2024 13:35:11:595  INFO - Node Entry | session id:sess1118228 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
12/03/2024 13:35:11:596  INFO - Application Exit | session id:sess1118228 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
12/03/2024 13:35:57:336  INFO - Node Entry | session id:sess9296101 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
12/03/2024 13:35:57:425  INFO - Node Entry | session id:sess9296101 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
12/03/2024 13:35:57:520  INFO - Node Entry | session id:sess9296101 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
12/03/2024 13:35:57:583  INFO - Node Entry | session id:sess9296101 | QatarIVR_UAT_New:SetTechDiffPrompt | Framework | SetTechDiffPrompt |  |  | undefined
12/03/2024 13:35:57:643  INFO - Node Entry | session id:sess9296101 | QatarIVR_UAT_New:TechnicalDifficulties | Framework | TechnicalDifficulties |  |  | undefined
